Serial number,Room,RAM,OS,Processor,Graphics_card,Storage,System_type
JU/PROD/CA/COMP/01,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1163 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/02,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1163 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/03,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"585 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/04,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"932 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/05,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/06,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/07,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/08,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/09,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/10,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/11,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/12,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
JU/PROD/CA/COMP/13,CA_LAB,16 GB,WINDOWS 10,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz   2.90 GHz,  NVIDIA T400 4GB (4 GB),"1167 GB HDD ST1000DM010-2EP102, 233 GB SSD KINGSTON SNV2S250G","64-bit operating system, x64-based processor"
