sl.no.,Lab,Specifications,image,Manufacturer/Model-Name,year of manufacture,situation
JU/PROD/MFG/LATHE/03,MFG,"Admit length ? 72.3 cm

Maximum diameter of job ? 15.6 cm

Gap bed length ? 5.5 cm

Motor power ? 1 HP

Motor RPM ? 1425

Number of speeds ? 6 (4 � 2 � 2 arrangement)

Spindle RPM ? 234

Feed (Rough) ? 48 mm/min

Feed (Finish) ? 25 mm/min

H.P.S.I. (High Speed Steel Index?)

Minimum RPM ? 35

Maximum RPM ? 790",,Pathak LATHE,,working
JU/PROD/MFG/LATHE/02,MFG,"Admit length ? 72.3 cm

Maximum diameter of job ? 15.6 cm

Gap bed length ? 5.5 cm

Motor power ? 1 HP

Motor RPM ? 1425

Number of speeds ? 6 (4 � 2 � 2 arrangement)

Spindle RPM ? 234

Feed (Rough) ? 48 mm/min

Feed (Finish) ? 25 mm/min

H.P.S.I. (High Speed Steel Index?)

Minimum RPM ? 35

Maximum RPM ? 790",,Pathak LATHE,,working
JU/PROD/MFG/LATHE/01,MFG,"Admit length ? 72.3 cm

Maximum diameter of job ? 15.6 cm

Gap bed length ? 5.5 cm

Motor power ? 1 HP

Motor RPM ? 1425

Number of speeds ? 6 (4 � 2 � 2 arrangement)

Spindle RPM ? 234

Feed (Rough) ? 48 mm/min

Feed (Finish) ? 25 mm/min

H.P.S.I. (High Speed Steel Index?)

Minimum RPM ? 35

Maximum RPM ? 790",,Pathak LATHE,,working
JU/PROD/MFG/LATHE/04,MFG,"Admit length ? 72.3 cm

Maximum diameter of job ? 15.6 cm

Gap bed length ? 5.5 cm

Motor power ? 1 HP

Motor RPM ? 1425

Number of speeds ? 6 (4 � 2 � 2 arrangement)

Spindle RPM ? 234

Feed (Rough) ? 48 mm/min

Feed (Finish) ? 25 mm/min

H.P.S.I. (High Speed Steel Index?)

Minimum RPM ? 35

Maximum RPM ? 790",,HP SINGH MACHINERY PVT LTD,,working
JU/PROD/MFG/LATHE/05,MFG,"Admit length ? 72.3 cm

Maximum diameter of job ? 15.6 cm

Gap bed length ? 5.5 cm

Motor power ? 1 HP

Motor RPM ? 1425

Number of speeds ? 6 (4 � 2 � 2 arrangement)

Spindle RPM ? 234

Feed (Rough) ? 48 mm/min

Feed (Finish) ? 25 mm/min

H.P.S.I. (High Speed Steel Index?)

Minimum RPM ? 35

Maximum RPM ? 790",,,,working
JU/PROD/MFG/LATHE/06,MFG,all gear LATHE,,top engineers,,Dead due to lack of maintainance and no power
JU/PROD/MFG/HOBBER/01,MFG, ,,PSG industrial institute GH600,1991,working
JU/PROD/MFG/SHAPER/01,MFG,"Maximum length of stroke ? 18 in

Table top (length � width) ? 460 mm � 295 mm

Table horizontal travel ? 17 in

Table vertical travel ? 12 in

Number of speeds ? 4

Range of speeds ? 260 � 380 rpm

Number of feeds ? 4

Motor power ? 1 HP

Motor RPM ? 1380 rpm

Crank centre height ? 720 mm",,L and T,,working
JU/PROD/MFG/SHAPER/02,MFG,"Maximum length of stroke ? 12 in

Table top (length � width) ? 375 mm � 255 mm

Table horizontal travel ? 12 in

Table vertical travel ? 8 in

Number of speeds available ? 4

Range of speeds ? 190 � 660 rpm

Number of feeds ? 3

Motor power ? 1 HP

Motor RPM ? 1380 rpm

Crank centre height ? 720 mm",,Bhartia Cutler-Hammer,,working
JU/PROD/MFG/LATHE/07,MFG,copying LATHE,,kirloskar,,working
