Sl no,Lab,Item,Specs,Working,Not working,Total,Consumables
JU/PROD/MFG/REVOLVING_CENTRE,MFG,Revolving Centre,,6,0,6,No
JU/PROD/MFG/DRILL_CHUCK,MFG,Drill Chuck,,9,0,9,No
JU/PROD/MFG/DRILL_SOCKET,MFG,Drill Socket,,8,0,8,No
JU/PROD/MFG/CENTRE_DRILL,MFG,Centre Drill,,6,2,8,Yes
JU/PROD/MFG/DRILL_BIT_MISC,MFG,Drill Bit,,21,0,21,Yes
JU/PROD/MFG/DRILL_BIT_0394_TAPER,MFG,Drill Bit,0.394 inch,1,0,1,Yes
JU/PROD/MFG/DRILL_BIT_0.5_TAPER,MFG,Drill Bit,Taper ended Flat shank 0.5 inch,4,0,3,Yes
JU/PROD/MFG/DRILL_BIT_0.625_TAPER,MFG,Drill Bit,Taper Ended Taper Shank 0.625 inch,2,0,2,Yes
JU/PROD/MFG/DRILL_BIT_0.5_TAPER_FLAT,MFG,Drill Bit,Taper Ended Taper shank 0.5 inch,3,0,3,Yes
JU/PROD/MFG/DRILL_BIT_0.4_TAPER,MFG,Drill Bit,Taper Ended Taper Shank 0.4 inch,11,0,11,Yes
JU/PROD/MFG/DRILL_BIT_0.5_FLAT,MFG,Drill Bit,Flat end Straight shank 0.5 inch,1,0,1,Yes
JU/PROD/MFG/DRILL_BIT_0.35_TAPER,MFG,Drill Bit,Taper Ended Taper Shank 0.35 inch,2,0,2,Yes
JU/PROD/MFG/DRILL_BIT_0.2_TAPER,MFG,Drill Bit,Taper ended Flat Shank 0.2 inch,8,0,8,Yes
JU/PROD/MFG/DRILL_BIT_0.3_FLAT,MFG,Drill Bit,Flat end taper shank,5,0,5,Yes
JU/PROD/MFG/DRILL_CHUCK_KEY,MFG,Drill Chuck Key,,14,0,14,No
JU/PROD/MFG/DRILL_DRAFT,MFG,Drill Draft,,7,0,7,No
JU/PROD/MFG/BSWTHREAD/01,MFG,Thread,1/4 BSW,3,0,3,Yes
JU/PROD/MFG/BSWTHREAD/02,MFG,Thread,3/16 BSW,2,0,2,Yes
JU/PROD/MFG/BSWTHREAD/03,MFG,Thread,1/8 BSW,1,0,1,Yes
JU/PROD/MFG/BSFTHREAD/04,MFG,Thread,5/16 BSW,1,0,1,Yes
JU/PROD/MFG/SCREW_PITCH_GAUGE,MFG,Screw Pitch Gauge,,8,0,8,No
JU/PROD/MFG/INVOLUTE_MILLING_CUTTER,MFG,Involute Milling Cutter,,1,0,1,Yes
JU/PROD/MFG/SIDE_FACE_MILLING_CUTTER,MFG,Side and Face Milling Cutter,,2,0,2,Yes
JU/PROD/MFG/MILLING_CUTTER,MFG,Milling Cutter,,9,0,9,Yes
JU/PROD/MFG/CENTRE_PUNCH,MFG,Centre Punch,,9,0,9,No
JU/PROD/MFG/DEAD_CENTER,MFG,Dead Centre,,4,0,4,No
JU/PROD/MFG/DIVIDER,MFG,Divider,,9,0,9,No
JU/PROD/MFG/ODD_LEG_CALIPER,MFG,Odd Leg Caliper,,7,0,7,No
JU/PROD/MFG/INSIDE_CALIPER,MFG,Inside Caliper,,11,0,11,No
JU/PROD/MFG/OUTSIDE_CALIPER,MFG,Outside Caliper,,10,0,10,No
JU/PROD/MFG/TRY_SQUARE_SMALL,MFG,Try Square,,1,0,1,No
JU/PROD/MFG/FILE_SET,MFG,File,,14,0,14,Yes
JU/PROD/MFG/RASP_FILE,MFG,Rasp File,,1,0,1,Yes
JU/PROD/MFG/FLAT_FILE,MFG,Flat File,,1,0,1,Yes
JU/PROD/MFG/CIRCULAR_FILE,MFG,Circular File,,1,0,1,Yes
JU/PROD/MFG/SQUARE_FILE,MFG,Square File,,1,0,1,Yes
JU/PROD/MFG/TRIANGULAR_FILE,MFG,Triangular File,,1,0,1,Yes
JU/PROD/MFG/REAMER,MFG,Reamer,,1,0,1,Yes
JU/PROD/MFG/ALLEN_KEY_SET,MFG,Allen Key,Set,1,0,1,No
JU/PROD/MFG/ALLEN_KEY,MFG,Allen Key,,35,0,35,No
JU/PROD/MFG/DIE_HEAD,MFG,Die Head,,9,0,9,No
JU/PROD/MFG/TAP_HOLDER,MFG,Tap Holder,,2,0,2,No
JU/PROD/MFG/TAP_INTERNAL,MFG,Tap (Internal Thread),,9,0,9,Yes
JU/PROD/MFG/TAP_SET,MFG,Tap Set,9 types,1,0,1,No
JU/PROD/MFG/BORING_TOOL,MFG,Boring Tool,,6,0,6,Yes
JU/PROD/MFG/COUNTER_SINK,MFG,Counter Sink,,2,0,2,Yes
JU/PROD/MFG/STRAIGHT_KNURLING_TOOL,MFG,Straight Knurling Tool,,4,0,4,Yes
JU/PROD/MFG/DIAMOND_KNURLING_TOOL,MFG,Diamond Knurling Tool,,2,0,2,Yes
JU/PROD/MFG/GROOVING_TOOL,MFG,Grooving Tool,,2,0,2,Yes
JU/PROD/MFG/VERNIER_CALLIPER,MFG,Vernier Callipers,,5,2,7,No
JU/PROD/MFG/STEEL_RULE,MFG,Steel Rule,30 cm,6,0,6,No
JU/PROD/MFG/MAGNETIC_SPIRIT_LEVEL,MFG,Magnetic Spirit Level,,1,0,1,No
JU/PROD/MFG/MEASURING_TAPE,MFG,Measuring Tape,5 m,1,0,1,No
JU/PROD/MFG/PARALLEL_BAR_WORKING,MFG,Parallel Bar (Working),,5,0,5,No
JU/PROD/MFG/PARALLEL_BAR_CHECKING,MFG,Parallel Bar (Checking),,1,0,1,No
JU/PROD/MFG/PARALLEL_SLIPS,MFG,Parallel Slips,,4,0,4,No
JU/PROD/MFG/V_BLOCK,MFG,V Blocks,,3,0,3,No
JU/PROD/MFG/TRY_SQUARE,MFG,Try Square,,5,0,5,No
JU/PROD/MFG/INVOLUTE_GEAR_MILLING_CUTTER,MFG,Involute Gear Milling Cutter,"26–34 teeth No.4, 35–55 No.3",1,0,1,Yes
JU/PROD/MFG/END_MILLING_CUTTER,MFG,End Milling Cutter,15mm,10,0,10,Yes
JU/PROD/MFG/FACE_MILLING_CUTTER,MFG,Face Milling Cutter,,1,0,1,Yes
JU/PROD/MFG/SLAB_MILLING_CUTTER,MFG,Slab Milling Cutter,,1,0,1,Yes
JU/PROD/MFG/HOBBING_CUTTER,MFG,Hobbing Cutter,,1,0,1,Yes
JU/PROD/MFG/DOUBLE_SLOT_V_BLOCK,MFG,Double Slot V Block,,1,0,1,No
JU/PROD/MFG/LETTER_PUNCH_SET,MFG,Letter Punch Set,,1,0,1,Yes
JU/PROD/MFG/NUMBER_PUNCH_SET,MFG,Number Punch Set,,1,0,1,Yes
JU/PROD/MFG/BALL_PEEN_HAMMER,MFG,Ball Peen Hammer,,9,0,9,No
JU/PROD/MFG/WRENCH_FIXED,MFG,Wrench,Fixed double ended,36,0,36,No
JU/PROD/MFG/WRENCH_ADJUSTABLE,MFG,Wrench,Adjustable,2,0,2,No
JU/PROD/MFG/WRENCH_BOX,MFG,Wrench,Box wrench,1,0,1,No
JU/PROD/MFG/RING_WRENCH,MFG,Double End Ring Wrench,,3,1,4,No
JU/PROD/MFG/SCREW_DRIVER,MFG,Screw Driver,,5,0,5,No
JU/PROD/MFG/SCRAPER,MFG,Scraper,,1,0,1,No
